source:,"Table 32-10-0119-01  Production and disposition of eggs, annual",,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Production and disposition,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1922,Ontario,2016A000235,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61108,7.9,21648,,,,0
1922,Manitoba,2016A000246,Average number of layers,Layers,201,thousands,3,v61008,8.1,1264,,,,0
1922,Manitoba,2016A000246,Eggs per 100 layers,Eggs,132,units ,0,v61019,8.2,9200,,,,0
1922,Manitoba,2016A000246,Production of eggs in shell,Dozens,129,thousands,3,v61059,8.3,9546,,,,0
1922,Manitoba,2016A000246,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61113,8.9,2069,,,,0
1922,Saskatchewan,2016A000247,Average number of layers,Layers,201,thousands,3,v61009,9.1,3080,,,,0
1922,Saskatchewan,2016A000247,Eggs per 100 layers,Eggs,132,units ,0,v61020,9.2,8900,,,,0
1922,Saskatchewan,2016A000247,Production of eggs in shell,Dozens,129,thousands,3,v61065,9.3,22500,,,,0
1922,Saskatchewan,2016A000247,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61118,9.9,4540,,,,0
1922,Alberta,2016A000248,Average number of layers,Layers,201,thousands,3,v61010,10.1,2240,,,,0
1922,Alberta,2016A000248,Eggs per 100 layers,Eggs,132,units ,0,v61021,10.2,8400,,,,0
1922,Alberta,2016A000248,Production of eggs in shell,Dozens,129,thousands,3,v61071,10.3,15656,,,,0
1922,Alberta,2016A000248,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61123,10.9,3361,,,,0
1922,British Columbia,2016A000259,Average number of layers,Layers,201,thousands,3,v61011,11.1,784,,,,0
1922,British Columbia,2016A000259,Eggs per 100 layers,Eggs,132,units ,0,v61022,11.2,11200,,,,0
1922,British Columbia,2016A000259,Production of eggs in shell,Dozens,129,thousands,3,v61077,11.3,7207,,,,0
1922,British Columbia,2016A000259,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61128,11.9,2646,,,,0
1923,Canada,2016A000011124,Average number of layers,Layers,201,thousands,3,v61001,1.1,18587,,,,0
1923,Canada,2016A000011124,Eggs per 100 layers,Eggs,132,units ,0,v61012,1.2,9500,,,,0
1923,Canada,2016A000011124,Production of eggs in shell,Dozens,129,thousands,3,v61023,1.3,145832,,,,0
1923,Canada,2016A000011124,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61083,1.9,42454,,,,0
1923,Newfoundland and Labrador,2016A000210,Average number of layers,Layers,201,thousands,3,v61003,2.1,0,,,,0
1923,Newfoundland and Labrador,2016A000210,Eggs per 100 layers,Eggs,132,units ,0,v61014,2.2,0,,,,0
1923,Newfoundland and Labrador,2016A000210,Production of eggs in shell,Dozens,129,thousands,3,v61030,2.3,0,,,,0
1923,Newfoundland and Labrador,2016A000210,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61089,2.9,0,,,,0
1923,Prince Edward Island,2016A000211,Average number of layers,Layers,201,thousands,3,v61002,3.1,305,,,,0
1923,Prince Edward Island,2016A000211,Eggs per 100 layers,Eggs,132,units ,0,v61013,3.2,9900,,,,0
1923,Prince Edward Island,2016A000211,Production of eggs in shell,Dozens,129,thousands,3,v61024,3.3,2478,,,,0
1923,Prince Edward Island,2016A000211,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61084,3.9,542,,,,0
1923,Nova Scotia,2016A000212,Average number of layers,Layers,201,thousands,3,v61004,4.1,421,,,,0
1923,Nova Scotia,2016A000212,Eggs per 100 layers,Eggs,132,units ,0,v61015,4.2,9000,,,,0
1923,Nova Scotia,2016A000212,Production of eggs in shell,Dozens,129,thousands,3,v61035,4.3,3111,,,,0
1923,Nova Scotia,2016A000212,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61093,4.9,781,,,,0
1923,New Brunswick,2016A000213,Average number of layers,Layers,201,thousands,3,v61005,5.1,436,,,,0
1923,New Brunswick,2016A000213,Eggs per 100 layers,Eggs,132,units ,0,v61016,5.2,9600,,,,0
1923,New Brunswick,2016A000213,Production of eggs in shell,Dozens,129,thousands,3,v61041,5.3,3436,,,,0
1923,New Brunswick,2016A000213,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61098,5.9,816,,,,0
1923,Quebec,2016A000224,Average number of layers,Layers,201,thousands,3,v61006,6.1,2389,,,,0
1923,Quebec,2016A000224,Eggs per 100 layers,Eggs,132,units ,0,v61017,6.2,7600,,,,0
1923,Quebec,2016A000224,Production of eggs in shell,Dozens,129,thousands,3,v61047,6.3,14903,,,,0
1923,Quebec,2016A000224,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61103,6.9,4994,,,,0
1923,Ontario,2016A000235,Average number of layers,Layers,201,thousands,3,v61007,7.1,7287,,,,0
1923,Ontario,2016A000235,Eggs per 100 layers,Eggs,132,units ,0,v61018,7.2,10700,,,,0
1923,Ontario,2016A000235,Production of eggs in shell,Dozens,129,thousands,3,v61053,7.3,64001,,,,0
1923,Ontario,2016A000235,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61108,7.9,22087,,,,0
1923,Manitoba,2016A000246,Average number of layers,Layers,201,thousands,3,v61008,8.1,1200,,,,0
1923,Manitoba,2016A000246,Eggs per 100 layers,Eggs,132,units ,0,v61019,8.2,9200,,,,0
1923,Manitoba,2016A000246,Production of eggs in shell,Dozens,129,thousands,3,v61059,8.3,9062,,,,0
1923,Manitoba,2016A000246,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61113,8.9,1956,,,,0
1923,Saskatchewan,2016A000247,Average number of layers,Layers,201,thousands,3,v61009,9.1,3214,,,,0
1923,Saskatchewan,2016A000247,Eggs per 100 layers,Eggs,132,units ,0,v61020,9.2,8900,,,,0
1923,Saskatchewan,2016A000247,Production of eggs in shell,Dozens,129,thousands,3,v61065,9.3,23479,,,,0
1923,Saskatchewan,2016A000247,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61118,9.9,4729,,,,0
1923,Alberta,2016A000248,Average number of layers,Layers,201,thousands,3,v61010,10.1,2404,,,,0
1923,Alberta,2016A000248,Eggs per 100 layers,Eggs,132,units ,0,v61021,10.2,8400,,,,0
1923,Alberta,2016A000248,Production of eggs in shell,Dozens,129,thousands,3,v61071,10.3,16803,,,,0
1923,Alberta,2016A000248,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61123,10.9,3585,,,,0
1923,British Columbia,2016A000259,Average number of layers,Layers,201,thousands,3,v61011,11.1,931,,,,0
1923,British Columbia,2016A000259,Eggs per 100 layers,Eggs,132,units ,0,v61022,11.2,11200,,,,0
1923,British Columbia,2016A000259,Production of eggs in shell,Dozens,129,thousands,3,v61077,11.3,8559,,,,0
1923,British Columbia,2016A000259,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61128,11.9,3057,,,,0
1924,Canada,2016A000011124,Average number of layers,Layers,201,thousands,3,v61001,1.1,18953,,,,0
1924,Canada,2016A000011124,Eggs per 100 layers,Eggs,132,units ,0,v61012,1.2,9700,,,,0
1924,Canada,2016A000011124,Production of eggs in shell,Dozens,129,thousands,3,v61023,1.3,150606,,,,0
1924,Canada,2016A000011124,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61083,1.9,42538,,,,0
1924,Newfoundland and Labrador,2016A000210,Average number of layers,Layers,201,thousands,3,v61003,2.1,0,,,,0
1924,Newfoundland and Labrador,2016A000210,Eggs per 100 layers,Eggs,132,units ,0,v61014,2.2,0,,,,0
1924,Newfoundland and Labrador,2016A000210,Production of eggs in shell,Dozens,129,thousands,3,v61030,2.3,0,,,,0
1924,Newfoundland and Labrador,2016A000210,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61089,2.9,0,,,,0
1924,Prince Edward Island,2016A000211,Average number of layers,Layers,201,thousands,3,v61002,3.1,349,,,,0
1924,Prince Edward Island,2016A000211,Eggs per 100 layers,Eggs,132,units ,0,v61013,3.2,10200,,,,0
1924,Prince Edward Island,2016A000211,Production of eggs in shell,Dozens,129,thousands,3,v61024,3.3,2924,,,,0
1924,Prince Edward Island,2016A000211,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61084,3.9,638,,,,0
1924,Nova Scotia,2016A000212,Average number of layers,Layers,201,thousands,3,v61004,4.1,455,,,,0
1924,Nova Scotia,2016A000212,Eggs per 100 layers,Eggs,132,units ,0,v61015,4.2,9300,,,,0
1924,Nova Scotia,2016A000212,Production of eggs in shell,Dozens,129,thousands,3,v61035,4.3,3477,,,,0
1924,Nova Scotia,2016A000212,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61093,4.9,873,,,,0
1924,New Brunswick,2016A000213,Average number of layers,Layers,201,thousands,3,v61005,5.1,463,,,,0
1924,New Brunswick,2016A000213,Eggs per 100 layers,Eggs,132,units ,0,v61016,5.2,9900,,,,0
1924,New Brunswick,2016A000213,Production of eggs in shell,Dozens,129,thousands,3,v61041,5.3,3767,,,,0
1924,New Brunswick,2016A000213,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61098,5.9,892,,,,0
1924,Quebec,2016A000224,Average number of layers,Layers,201,thousands,3,v61006,6.1,2500,,,,0
1924,Quebec,2016A000224,Eggs per 100 layers,Eggs,132,units ,0,v61017,6.2,8100,,,,0
1924,Quebec,2016A000224,Production of eggs in shell,Dozens,129,thousands,3,v61047,6.3,16639,,,,0
1924,Quebec,2016A000224,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61103,6.9,5120,,,,0
1924,Ontario,2016A000235,Average number of layers,Layers,201,thousands,3,v61007,7.1,7524,,,,0
1924,Ontario,2016A000235,Eggs per 100 layers,Eggs,132,units ,0,v61018,7.2,10700,,,,0
1924,Ontario,2016A000235,Production of eggs in shell,Dozens,129,thousands,3,v61053,7.3,66150,,,,0
1924,Ontario,2016A000235,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61108,7.9,21819,,,,0
1924,Manitoba,2016A000246,Average number of layers,Layers,201,thousands,3,v61008,8.1,1353,,,,0
1924,Manitoba,2016A000246,Eggs per 100 layers,Eggs,132,units ,0,v61019,8.2,9200,,,,0
1924,Manitoba,2016A000246,Production of eggs in shell,Dozens,129,thousands,3,v61059,8.3,10228,,,,0
1924,Manitoba,2016A000246,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61113,8.9,2198,,,,0
1924,Saskatchewan,2016A000247,Average number of layers,Layers,201,thousands,3,v61009,9.1,3100,,,,0
1924,Saskatchewan,2016A000247,Eggs per 100 layers,Eggs,132,units ,0,v61020,9.2,8900,,,,0
1924,Saskatchewan,2016A000247,Production of eggs in shell,Dozens,129,thousands,3,v61065,9.3,22670,,,,0
1924,Saskatchewan,2016A000247,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61118,9.9,4557,,,,0
1924,Alberta,2016A000248,Average number of layers,Layers,201,thousands,3,v61010,10.1,2233,,,,0
1924,Alberta,2016A000248,Eggs per 100 layers,Eggs,132,units ,0,v61021,10.2,8400,,,,0
1924,Alberta,2016A000248,Production of eggs in shell,Dozens,129,thousands,3,v61071,10.3,15609,,,,0
1924,Alberta,2016A000248,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61123,10.9,3310,,,,0
1924,British Columbia,2016A000259,Average number of layers,Layers,201,thousands,3,v61011,11.1,976,,,,0
1924,British Columbia,2016A000259,Eggs per 100 layers,Eggs,132,units ,0,v61022,11.2,11400,,,,0
1924,British Columbia,2016A000259,Production of eggs in shell,Dozens,129,thousands,3,v61077,11.3,9142,,,,0
1924,British Columbia,2016A000259,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61128,11.9,3170,,,,0
1925,Canada,2016A000011124,Average number of layers,Layers,201,thousands,3,v61001,1.1,19017,,,,0
1925,Canada,2016A000011124,Eggs per 100 layers,Eggs,132,units ,0,v61012,1.2,10000,,,,0
1925,Canada,2016A000011124,Production of eggs in shell,Dozens,129,thousands,3,v61023,1.3,156771,,,,0
1925,Canada,2016A000011124,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61083,1.9,47904,,,,0
1925,Newfoundland and Labrador,2016A000210,Average number of layers,Layers,201,thousands,3,v61003,2.1,0,,,,0
1925,Newfoundland and Labrador,2016A000210,Eggs per 100 layers,Eggs,132,units ,0,v61014,2.2,0,,,,0
1925,Newfoundland and Labrador,2016A000210,Production of eggs in shell,Dozens,129,thousands,3,v61030,2.3,0,,,,0
1925,Newfoundland and Labrador,2016A000210,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61089,2.9,0,,,,0
1925,Prince Edward Island,2016A000211,Average number of layers,Layers,201,thousands,3,v61002,3.1,346,,,,0
1925,Prince Edward Island,2016A000211,Eggs per 100 layers,Eggs,132,units ,0,v61013,3.2,10600,,,,0
1925,Prince Edward Island,2016A000211,Production of eggs in shell,Dozens,129,thousands,3,v61024,3.3,3013,,,,0
1925,Prince Edward Island,2016A000211,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61084,3.9,688,,,,0
1925,Nova Scotia,2016A000212,Average number of layers,Layers,201,thousands,3,v61004,4.1,409,,,,0
1925,Nova Scotia,2016A000212,Eggs per 100 layers,Eggs,132,units ,0,v61015,4.2,9700,,,,0
1925,Nova Scotia,2016A000212,Production of eggs in shell,Dozens,129,thousands,3,v61035,4.3,3260,,,,0
1925,Nova Scotia,2016A000212,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61093,4.9,856,,,,0
1925,New Brunswick,2016A000213,Average number of layers,Layers,201,thousands,3,v61005,5.1,453,,,,0
1925,New Brunswick,2016A000213,Eggs per 100 layers,Eggs,132,units ,0,v61016,5.2,10300,,,,0
1925,New Brunswick,2016A000213,Production of eggs in shell,Dozens,129,thousands,3,v61041,5.3,3834,,,,0
1925,New Brunswick,2016A000213,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61098,5.9,948,,,,0
1925,Quebec,2016A000224,Average number of layers,Layers,201,thousands,3,v61006,6.1,2641,,,,0
1925,Quebec,2016A000224,Eggs per 100 layers,Eggs,132,units ,0,v61017,6.2,8300,,,,0
1925,Quebec,2016A000224,Production of eggs in shell,Dozens,129,thousands,3,v61047,6.3,18011,,,,0
1925,Quebec,2016A000224,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61103,6.9,5736,,,,0
1925,Ontario,2016A000235,Average number of layers,Layers,201,thousands,3,v61007,7.1,7642,,,,0
1925,Ontario,2016A000235,Eggs per 100 layers,Eggs,132,units ,0,v61018,7.2,11100,,,,0
1925,Ontario,2016A000235,Production of eggs in shell,Dozens,129,thousands,3,v61053,7.3,69698,,,,0
1925,Ontario,2016A000235,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61108,7.9,24401,,,,0
1925,Manitoba,2016A000246,Average number of layers,Layers,201,thousands,3,v61008,8.1,1497,,,,0
